event_id,timestamp,user_id,event_name,resource,source_ip,region,status,ground_truth
CLOUD-01003,2025-06-01T03:42:54,user_021,ConsoleLogin,aws:console,10.10.1.197,ap-south-1,Success,1
CLOUD-01130,2025-06-01T04:41:08,user_037,ConsoleLogin,aws:console,10.10.1.197,ap-south-1,Success,1
CLOUD-00967,2025-06-01T08:00:46,user_048,GetObject,s3://customer-exports,10.10.4.165,ap-south-1,Success,1
CLOUD-00197,2025-06-01T08:03:24,user_047,DescribeInstances,ec2:dev-instance,10.10.3.97,ap-south-1,Success,0
CLOUD-01044,2025-06-01T08:18:24,user_009,DescribeInstances,ec2:dev-instance,10.10.1.213,ap-south-1,Success,0
CLOUD-00897,2025-06-01T08:28:33,user_037,DescribeInstances,ec2:dev-instance,10.10.1.64,ap-south-1,Success,0
CLOUD-01212,2025-06-01T08:33:50,user_037,PutObject,s3://team-uploads,10.10.1.86,ap-south-1,Success,0
CLOUD-00730,2025-06-01T08:37:55,user_050,ConsoleLogin,aws:console,185.220.203.183,ap-south-1,Success,1
CLOUD-00134,2025-06-01T08:40:53,user_038,ListBucket,s3://project-documents,10.10.2.82,ap-south-1,Success,0
CLOUD-00080,2025-06-01T09:03:26,user_025,GetObject,s3://project-documents,10.10.1.20,ap-south-1,Success,0
CLOUD-00824,2025-06-01T09:04:42,user_015,GetObject,s3://finance-backups,10.10.3.102,ap-south-1,Success,1
CLOUD-00715,2025-06-01T09:17:18,user_004,ListBucket,s3://project-documents,10.10.4.10,ap-south-1,Success,0
CLOUD-00546,2025-06-01T09:29:40,user_045,ListBucket,s3://project-documents,10.10.1.99,ap-south-1,Success,0
CLOUD-00623,2025-06-01T09:43:37,user_001,DescribeInstances,ec2:dev-instance,10.10.1.215,ap-south-1,Success,0
CLOUD-01053,2025-06-01T10:11:27,user_046,GetObject,s3://project-documents,10.10.2.32,ap-south-1,Success,0
CLOUD-00170,2025-06-01T10:29:20,user_027,DescribeInstances,ec2:dev-instance,10.10.3.140,ap-south-1,Success,0
CLOUD-00330,2025-06-01T10:30:43,user_017,PutObject,s3://team-uploads,10.10.1.79,ap-south-1,Success,0
CLOUD-00446,2025-06-01T10:40:45,user_043,ListBucket,s3://project-documents,10.10.3.51,ap-south-1,Success,0
CLOUD-00783,2025-06-01T10:55:55,user_024,DescribeInstances,ec2:dev-instance,10.10.4.73,ap-south-1,Success,0
CLOUD-00866,2025-06-01T11:07:08,user_033,ListBucket,s3://project-documents,10.10.1.166,ap-south-1,Success,0
CLOUD-01021,2025-06-01T11:20:33,user_041,DescribeInstances,ec2:dev-instance,10.10.1.71,ap-south-1,Success,0
CLOUD-01015,2025-06-01T11:27:27,user_036,ConsoleLogin,aws:console,185.220.45.12,ap-south-1,Success,1
CLOUD-00159,2025-06-01T11:43:09,user_049,PutObject,s3://team-uploads,10.10.1.44,ap-south-1,Success,0
CLOUD-00789,2025-06-01T12:02:46,user_004,DescribeInstances,ec2:dev-instance,10.10.4.217,ap-south-1,Success,0
CLOUD-00475,2025-06-01T12:35:07,user_029,PutObject,s3://team-uploads,10.10.1.173,ap-south-1,Success,0
CLOUD-01022,2025-06-01T12:59:17,user_016,GetObject,s3://project-documents,10.10.4.60,ap-south-1,Success,0
CLOUD-01085,2025-06-01T13:32:13,user_044,DescribeInstances,ec2:dev-instance,10.10.4.214,ap-south-1,Success,0
CLOUD-00198,2025-06-01T13:47:53,user_037,ListBucket,s3://project-documents,10.10.1.71,ap-south-1,Success,0
CLOUD-01195,2025-06-01T13:57:23,user_039,ListBucket,s3://project-documents,10.10.3.125,ap-south-1,Success,0
CLOUD-00151,2025-06-01T14:00:04,user_049,ListBucket,s3://project-documents,10.10.1.88,ap-south-1,Success,0
CLOUD-00666,2025-06-01T14:19:53,user_002,PutObject,s3://team-uploads,10.10.2.46,ap-south-1,Success,0
CLOUD-00201,2025-06-01T14:21:22,user_007,GetObject,s3://project-documents,10.10.3.116,ap-south-1,Success,0
CLOUD-00615,2025-06-01T14:33:35,user_003,GetObject,s3://project-documents,10.10.3.60,ap-south-1,Success,0
CLOUD-00736,2025-06-01T14:33:37,user_033,GetObject,s3://finance-backups,10.10.1.217,ap-south-1,Success,1
CLOUD-00346,2025-06-01T14:34:58,user_037,GetObject,s3://project-documents,10.10.1.169,ap-south-1,Success,0
CLOUD-00352,2025-06-01T15:04:36,user_034,DescribeInstances,ec2:dev-instance,10.10.2.78,ap-south-1,Success,0
CLOUD-00630,2025-06-01T15:20:43,user_002,DescribeInstances,ec2:dev-instance,10.10.2.85,ap-south-1,Success,0
CLOUD-00180,2025-06-01T15:36:42,user_029,GetObject,s3://project-documents,10.10.1.89,ap-south-1,Success,0
CLOUD-00114,2025-06-01T16:00:35,user_009,CreateAccessKey,iam:access-key,10.10.1.93,ap-south-1,Success,1
CLOUD-00976,2025-06-01T16:10:54,user_020,DescribeInstances,ec2:dev-instance,10.10.4.96,ap-south-1,Success,0
CLOUD-00338,2025-06-01T16:36:05,user_006,PutObject,s3://team-uploads,10.10.2.114,ap-south-1,Success,0
CLOUD-00401,2025-06-01T16:48:56,user_034,ListBucket,s3://project-documents,10.10.2.205,ap-south-1,Success,0
CLOUD-00564,2025-06-01T16:50:04,user_026,DescribeInstances,ec2:dev-instance,10.10.2.58,ap-south-1,Success,0
CLOUD-00351,2025-06-01T17:10:26,user_014,ListBucket,s3://project-documents,10.10.2.217,ap-south-1,Success,0
CLOUD-00896,2025-06-01T17:11:16,user_025,DescribeInstances,ec2:dev-instance,10.10.1.142,ap-south-1,Success,0
CLOUD-00119,2025-06-01T17:24:00,user_048,ListBucket,s3://project-documents,10.10.4.131,ap-south-1,Success,0
CLOUD-00097,2025-06-01T17:36:37,user_017,CreateAccessKey,iam:access-key,10.10.1.102,ap-south-1,Success,1
CLOUD-01245,2025-06-01T17:41:18,user_043,ListBucket,s3://project-documents,10.10.3.67,ap-south-1,Success,0
CLOUD-00466,2025-06-01T17:54:12,user_011,GetObject,s3://project-documents,10.10.3.194,ap-south-1,Success,0
CLOUD-00555,2025-06-01T18:10:24,user_002,DescribeInstances,ec2:dev-instance,10.10.2.155,ap-south-1,Success,0
CLOUD-00021,2025-06-01T22:04:54,user_030,ConsoleLogin,aws:console,10.10.2.42,ap-south-1,Success,1
CLOUD-00820,2025-06-01T23:12:28,user_048,ConsoleLogin,aws:console,10.10.4.208,ap-south-1,Success,1
CLOUD-00149,2025-06-02T03:07:20,user_025,GetObject,s3://customer-exports,185.220.54.35,ap-south-1,Success,1
CLOUD-00698,2025-06-02T04:48:33,user_024,GetObject,s3://customer-exports,185.220.147.87,ap-south-1,Success,1
CLOUD-01196,2025-06-02T04:53:28,user_017,GetObject,s3://customer-exports,185.220.239.141,ap-south-1,Success,1
CLOUD-00634,2025-06-02T04:58:44,user_010,GetObject,s3://customer-exports,185.220.216.45,ap-south-1,Success,1
CLOUD-01116,2025-06-02T08:10:15,user_025,GetObject,s3://project-documents,10.10.1.73,ap-south-1,Success,0
CLOUD-00744,2025-06-02T08:40:55,user_040,PutObject,s3://team-uploads,10.10.4.191,ap-south-1,Success,0
CLOUD-00133,2025-06-02T08:54:09,user_039,DescribeInstances,ec2:dev-instance,10.10.3.130,ap-south-1,Success,0
CLOUD-00657,2025-06-02T09:02:42,user_040,GetObject,s3://project-documents,10.10.4.140,ap-south-1,Success,0
CLOUD-00109,2025-06-02T09:24:19,user_015,DescribeInstances,ec2:dev-instance,10.10.3.20,ap-south-1,Success,0
CLOUD-00760,2025-06-02T09:43:52,user_017,GetObject,s3://project-documents,10.10.1.114,ap-south-1,Success,0
CLOUD-00725,2025-06-02T09:56:23,user_047,DescribeInstances,ec2:dev-instance,10.10.3.131,ap-south-1,Success,0
CLOUD-00464,2025-06-02T10:06:30,user_007,ConsoleLogin,aws:console,185.220.166.36,ap-south-1,Success,1
CLOUD-00496,2025-06-02T10:20:03,user_008,DescribeInstances,ec2:dev-instance,10.10.4.198,ap-south-1,Success,0
CLOUD-00685,2025-06-02T10:25:10,user_030,PutObject,s3://team-uploads,10.10.2.126,ap-south-1,Success,0
CLOUD-00907,2025-06-02T11:09:52,user_026,GetObject,s3://project-documents,10.10.2.66,ap-south-1,Success,0
CLOUD-00733,2025-06-02T11:15:33,user_039,DescribeInstances,ec2:dev-instance,10.10.3.48,ap-south-1,Success,0
CLOUD-00784,2025-06-02T11:31:00,user_050,GetObject,s3://project-documents,10.10.2.46,ap-south-1,Success,0
CLOUD-01096,2025-06-02T11:47:29,user_002,ListBucket,s3://project-documents,10.10.2.89,ap-south-1,Success,0
CLOUD-01007,2025-06-02T11:59:38,user_042,ListBucket,s3://project-documents,10.10.2.192,ap-south-1,Success,0
CLOUD-00207,2025-06-02T12:02:44,user_011,PutObject,s3://team-uploads,10.10.3.28,ap-south-1,Success,0
CLOUD-00627,2025-06-02T12:35:00,user_047,ListBucket,s3://project-documents,10.10.3.168,ap-south-1,Success,0
CLOUD-00586,2025-06-02T12:47:05,user_017,ListBucket,s3://project-documents,10.10.1.87,ap-south-1,Success,0
CLOUD-00756,2025-06-02T12:54:45,user_002,GetObject,s3://project-documents,10.10.2.157,ap-south-1,Success,0
CLOUD-00070,2025-06-02T13:02:50,user_012,GetObject,s3://project-documents,10.10.4.196,ap-south-1,Success,0
