event_id,timestamp,user_id,application,application_category,requests,data_uploaded_mb,device,location,approved,ground_truth
SAAS-01075,2025-06-01T08:25:30,user_025,Microsoft 365,Productivity,41,1.25,Managed macOS Laptop,Bengaluru,True,0
SAAS-00895,2025-06-01T08:33:02,user_047,OneDrive,Storage,64,784.71,Managed macOS Laptop,Pune,True,1
SAAS-00298,2025-06-01T08:35:56,user_030,Slack,Collaboration,705,6.54,Managed Windows Laptop,Hyderabad,True,1
SAAS-01057,2025-06-01T08:55:58,user_011,Slack,Collaboration,53,4.09,Managed macOS Laptop,Pune,True,0
SAAS-00316,2025-06-01T09:09:11,user_011,Salesforce,CRM,69,12.38,Managed macOS Laptop,Pune,True,0
SAAS-01059,2025-06-01T09:36:59,user_049,Zoom,Communication,604,3.51,Managed macOS Laptop,Bengaluru,True,1
SAAS-00494,2025-06-01T10:14:00,user_043,Slack,Collaboration,25,30.4,Managed macOS Laptop,Pune,True,0
SAAS-01100,2025-06-01T11:07:30,user_034,Microsoft 365,Productivity,59,3.93,Managed Windows Laptop,Hyderabad,True,0
SAAS-01054,2025-06-01T11:32:19,user_044,OneDrive,Storage,39,6.4,Managed Windows Laptop,Chennai,True,0
SAAS-01131,2025-06-01T12:35:50,user_029,Google Workspace,Productivity,65,11.46,Managed macOS Laptop,Bengaluru,True,0
SAAS-00874,2025-06-01T12:45:31,user_049,Zoom,Communication,73,4.76,Managed macOS Laptop,Bengaluru,True,0
SAAS-01193,2025-06-01T12:52:26,user_012,Google Workspace,Productivity,56,755.0,Managed Windows Laptop,Chennai,True,1
SAAS-00420,2025-06-01T13:00:09,user_049,Trello,Project Management,89,12.14,Managed macOS Laptop,Bengaluru,False,1
SAAS-01079,2025-06-01T13:13:49,user_039,Microsoft 365,Productivity,49,4.44,Managed macOS Laptop,Pune,True,0
SAAS-01005,2025-06-01T13:42:59,user_034,GitHub,Development,53,9.94,Managed Windows Laptop,Hyderabad,True,0
SAAS-01084,2025-06-01T13:51:38,user_035,Salesforce,CRM,62,4.61,Managed macOS Laptop,Pune,True,0
SAAS-01133,2025-06-01T14:02:34,user_039,OneDrive,Storage,331,2.56,Managed macOS Laptop,Pune,True,1
SAAS-01127,2025-06-01T14:14:30,user_049,Google Workspace,Productivity,83,3.04,Managed macOS Laptop,Bengaluru,True,0
SAAS-00559,2025-06-01T14:16:46,user_008,Dropbox,Storage,41,4.67,Managed Windows Laptop,Chennai,False,1
SAAS-00270,2025-06-01T14:26:52,user_002,Slack,Collaboration,45,15.66,Managed Windows Laptop,Hyderabad,True,0
SAAS-00536,2025-06-01T14:27:30,user_004,WeTransfer,File Transfer,64,2.26,Managed Windows Laptop,Chennai,False,1
SAAS-00339,2025-06-01T14:38:22,user_043,GitHub,Development,60,4.12,Managed macOS Laptop,Pune,True,0
SAAS-00887,2025-06-01T15:26:15,user_034,Dropbox,Storage,25,1.26,Managed Windows Laptop,Hyderabad,False,1
SAAS-01074,2025-06-01T15:50:44,user_050,GitHub,Development,71,0.78,Managed Windows Laptop,Hyderabad,True,0
SAAS-00938,2025-06-01T15:51:43,user_028,Claude,AI Assistant,90,12.72,Managed Windows Laptop,Chennai,False,1
SAAS-01068,2025-06-01T15:54:03,user_025,Microsoft 365,Productivity,44,225.92,Managed macOS Laptop,Bengaluru,True,1
