event_id,user_id,timestamp,alert_type,severity,reason
CLOUD-01003,user_021,2025-06-01T03:42:54,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-01130,user_037,2025-06-01T04:41:08,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00967,user_048,2025-06-01T08:00:46,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00730,user_050,2025-06-01T08:37:55,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00824,user_015,2025-06-01T09:04:42,Unusual Resource Access,High,Access to configured sensitive resource: s3://finance-backups
CLOUD-01015,user_036,2025-06-01T11:27:27,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00736,user_033,2025-06-01T14:33:37,Unusual Resource Access,High,Access to configured sensitive resource: s3://finance-backups
CLOUD-00114,user_009,2025-06-01T16:00:35,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00097,user_017,2025-06-01T17:36:37,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00021,user_030,2025-06-01T22:04:54,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00820,user_048,2025-06-01T23:12:28,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00149,user_025,2025-06-02T03:07:20,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00149,user_025,2025-06-02T03:07:20,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00149,user_025,2025-06-02T03:07:20,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00698,user_024,2025-06-02T04:48:33,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00698,user_024,2025-06-02T04:48:33,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00698,user_024,2025-06-02T04:48:33,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-01196,user_017,2025-06-02T04:53:28,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-01196,user_017,2025-06-02T04:53:28,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-01196,user_017,2025-06-02T04:53:28,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00634,user_010,2025-06-02T04:58:44,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00634,user_010,2025-06-02T04:58:44,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00634,user_010,2025-06-02T04:58:44,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00464,user_007,2025-06-02T10:06:30,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00516,user_037,2025-06-02T14:25:18,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00703,user_003,2025-06-02T16:13:42,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00830,user_043,2025-06-03T02:58:37,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00830,user_043,2025-06-03T02:58:37,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00830,user_043,2025-06-03T02:58:37,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00394,user_039,2025-06-03T10:51:52,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00587,user_001,2025-06-03T11:31:12,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00171,user_019,2025-06-03T11:41:28,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00200,user_015,2025-06-03T16:25:19,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00588,user_042,2025-06-03T17:28:08,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00444,user_045,2025-06-04T00:52:24,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00444,user_045,2025-06-04T00:52:24,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00444,user_045,2025-06-04T00:52:24,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00697,user_022,2025-06-04T09:20:19,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00241,user_019,2025-06-04T13:23:58,Unusual Resource Access,High,Access to configured sensitive resource: s3://finance-backups
CLOUD-00140,user_023,2025-06-04T22:53:29,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00163,user_028,2025-06-05T02:56:54,Unusual Resource Access,High,Access to configured sensitive resource: s3://customer-exports
CLOUD-00163,user_028,2025-06-05T02:56:54,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00163,user_028,2025-06-05T02:56:54,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00125,user_013,2025-06-05T04:30:17,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00538,user_031,2025-06-05T08:29:43,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00989,user_023,2025-06-05T09:42:30,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00946,user_025,2025-06-05T09:48:32,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-01091,user_025,2025-06-05T10:41:05,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00462,user_024,2025-06-05T16:19:06,Unknown IP,Medium,Source IP is outside configured internal IP ranges.
CLOUD-00584,user_039,2025-06-05T17:58:07,Create Access Key,High,CreateAccessKey can create persistent programmatic access.
CLOUD-00811,user_015,2025-06-05T22:32:12,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
CLOUD-00481,user_013,2025-06-05T23:05:21,Unusual Access Time,Medium,Cloud activity occurred outside normal working hours.
