incident_id,user_id,events,risk_score,risk_level,reason
INC-0001,user_001,"[{""event_id"": ""CLOUD-00587"", ""timestamp"": ""2025-06-03T11:31:12"", ""alert_type"": ""Create Access Key"", ""severity"": ""High"", ""source_ip"": ""10.10.1.58"", ""resource"": ""iam:access-key""}]",25,Low,1 related alerts from 2025-06-03 11:31 to 2025-06-03 11:31; indicators: Create Access Key (+25). Resource context: iam:access-key.
INC-0002,user_001,"[{""event_id"": ""CLOUD-01026"", ""timestamp"": ""2025-06-08T16:26:20"", ""alert_type"": ""Create Access Key"", ""severity"": ""High"", ""source_ip"": ""10.10.1.57"", ""resource"": ""iam:access-key""}, {""event_id"": ""CLOUD-00370"", ""timestamp"": ""2025-06-08T16:57:31"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.204"", ""resource"": ""s3://customer-exports""}]",40,Medium,"2 related alerts from 2025-06-08 16:26 to 2025-06-08 16:57; indicators: Create Access Key (+25), Unusual Resource Access (+15). Resource context: iam:access-key, s3://customer-exports."
INC-0003,user_001,"[{""event_id"": ""CLOUD-00788"", ""timestamp"": ""2025-06-09T22:32:15"", ""alert_type"": ""Unusual Access Time"", ""severity"": ""Medium"", ""source_ip"": ""185.220.141.221"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00788"", ""timestamp"": ""2025-06-09T22:32:15"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""185.220.141.221"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00788"", ""timestamp"": ""2025-06-09T22:32:15"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.141.221"", ""resource"": ""s3://customer-exports""}]",45,Medium,"3 related alerts from 2025-06-09 22:32 to 2025-06-09 22:32; indicators: Unusual Access Time (+10), Unusual Resource Access (+15), Unknown IP (+20). External IP context: 185.220.141.221. Resource context: s3://customer-exports."
INC-0004,user_001,"[{""event_id"": ""CLOUD-00798"", ""timestamp"": ""2025-06-18T14:10:55"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.71"", ""resource"": ""s3://finance-backups""}]",15,Low,1 related alerts from 2025-06-18 14:10 to 2025-06-18 14:10; indicators: Unusual Resource Access (+15). Resource context: s3://finance-backups.
INC-0005,user_001,"[{""event_id"": ""CLOUD-01080"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.38"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01080"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.38"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00460"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.174"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00460"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.174"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00700"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.157"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00700"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.157"", ""resource"": ""s3://customer-exports""}]",25,Low,"6 related alerts from 2025-06-20 14:00 to 2025-06-20 14:01; indicators: Unusual Resource Access (+15), Abnormal API Activity (+10). Resource context: s3://customer-exports."
INC-0006,user_001,"[{""event_id"": ""CLOUD-01065"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.36"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01125"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.124"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01125"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.124"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01065"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.36"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01005"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.137"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01005"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.137"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00765"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.28"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00765"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.28"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00225"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.34"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00225"", ""timestamp"": ""2025-06-21T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.34"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""SAAS-00051"", ""timestamp"": ""2025-06-21T14:23:49"", ""alert_type"": ""Shadow IT"", ""severity"": ""Medium"", ""source_ip"": null, ""resource"": null}]",55,Medium,"11 related alerts from 2025-06-21 14:00 to 2025-06-21 14:23; indicators: Abnormal API Activity (+10), Unusual Resource Access (+15), Shadow IT (+30). Resource context: s3://customer-exports."
INC-0007,user_001,"[{""event_id"": ""CLOUD-00250"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.113"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00250"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.113"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00430"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.131"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00430"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.131"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01150"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.71"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01150"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.71"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00710"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.59"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00710"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.59"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01010"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.68"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01010"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.1.68"", ""resource"": ""s3://customer-exports""}]",25,Low,"10 related alerts from 2025-06-22 14:01 to 2025-06-22 14:02; indicators: Abnormal API Activity (+10), Unusual Resource Access (+15). Resource context: s3://customer-exports."
INC-0008,user_001,"[{""event_id"": ""CLOUD-00675"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.1.132"", ""resource"": ""s3://customer-exports""}]",15,Low,1 related alerts from 2025-06-23 14:00 to 2025-06-23 14:00; indicators: Unusual Resource Access (+15). Resource context: s3://customer-exports.
INC-0009,user_002,"[{""event_id"": ""CLOUD-00418"", ""timestamp"": ""2025-06-08T17:46:54"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.102.109"", ""resource"": ""aws:console""}]",20,Low,1 related alerts from 2025-06-08 17:46 to 2025-06-08 17:46; indicators: Unknown IP (+20). External IP context: 185.220.102.109. Resource context: aws:console.
INC-0010,user_002,"[{""event_id"": ""CLOUD-01239"", ""timestamp"": ""2025-06-11T11:47:02"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.197.235"", ""resource"": ""aws:console""}, {""event_id"": ""SAAS-00252"", ""timestamp"": ""2025-06-11T13:15:22"", ""alert_type"": ""Shadow AI"", ""severity"": ""High"", ""source_ip"": null, ""resource"": null}, {""event_id"": ""SAAS-00937"", ""timestamp"": ""2025-06-11T15:58:56"", ""alert_type"": ""Shadow IT"", ""severity"": ""Medium"", ""source_ip"": null, ""resource"": null}]",80,High,"3 related alerts from 2025-06-11 11:47 to 2025-06-11 15:58; indicators: Unknown IP (+20), Shadow AI (+30), Shadow IT (+30). External IP context: 185.220.197.235. Resource context: aws:console."
