event_id,user_id,timestamp,alert_type,severity,reason
SAAS-00938,user_028,2025-06-01T15:51:43,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00621,user_038,2025-06-01T16:16:55,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-01169,user_027,2025-06-02T14:26:23,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-01106,user_023,2025-06-03T11:44:42,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00002,user_035,2025-06-03T13:45:35,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00488,user_038,2025-06-04T08:02:35,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-01053,user_027,2025-06-04T15:00:18,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00048,user_019,2025-06-04T16:05:20,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00722,user_005,2025-06-05T08:07:22,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00014,user_042,2025-06-05T09:22:33,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00482,user_028,2025-06-05T11:24:31,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00671,user_009,2025-06-05T12:36:45,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00953,user_031,2025-06-05T16:35:25,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00531,user_035,2025-06-05T17:13:33,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00741,user_034,2025-06-05T18:55:45,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00713,user_042,2025-06-06T10:14:03,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00655,user_041,2025-06-06T10:36:31,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00240,user_016,2025-06-06T18:58:15,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00194,user_046,2025-06-07T14:09:42,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00116,user_041,2025-06-08T08:25:59,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01030,user_045,2025-06-08T09:19:44,Shadow AI,High,Unauthorized AI SaaS application: Claude
