event_id,user_id,timestamp,alert_type,severity,reason
SAAS-00420,user_049,2025-06-01T13:00:09,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00559,user_008,2025-06-01T14:16:46,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00536,user_004,2025-06-01T14:27:30,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00887,user_034,2025-06-01T15:26:15,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00853,user_041,2025-06-02T08:23:43,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-01011,user_009,2025-06-02T08:43:09,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00046,user_023,2025-06-02T09:25:23,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00357,user_004,2025-06-02T12:00:18,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-01146,user_041,2025-06-02T12:18:33,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00345,user_016,2025-06-02T12:54:24,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00179,user_045,2025-06-02T13:17:27,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00883,user_040,2025-06-02T14:45:59,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00611,user_013,2025-06-02T14:46:24,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00787,user_050,2025-06-02T14:49:50,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00774,user_041,2025-06-02T15:42:40,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00370,user_041,2025-06-03T11:50:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00356,user_035,2025-06-03T15:02:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00765,user_010,2025-06-03T16:45:19,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00570,user_045,2025-06-03T17:55:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00290,user_033,2025-06-04T08:51:57,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00489,user_020,2025-06-04T09:41:59,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00523,user_036,2025-06-04T14:20:36,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00790,user_010,2025-06-05T08:09:06,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00421,user_030,2025-06-05T10:18:20,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00973,user_050,2025-06-05T12:19:19,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00750,user_028,2025-06-05T14:55:00,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00890,user_011,2025-06-06T09:00:28,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00287,user_025,2025-06-06T09:48:49,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00278,user_024,2025-06-06T10:49:22,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-01128,user_039,2025-06-06T14:15:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00794,user_049,2025-06-06T17:32:01,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00122,user_021,2025-06-07T11:11:47,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00233,user_005,2025-06-07T13:32:46,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00535,user_031,2025-06-08T11:16:08,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00545,user_047,2025-06-08T16:49:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00706,user_037,2025-06-08T17:14:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00880,user_024,2025-06-08T18:29:26,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-01160,user_048,2025-06-10T11:06:55,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00937,user_002,2025-06-11T15:58:56,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-00696,user_048,2025-06-11T18:45:55,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-01019,user_018,2025-06-12T14:12:04,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00281,user_011,2025-06-12T14:32:06,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-00033,user_049,2025-06-14T14:27:41,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
SAAS-00080,user_019,2025-06-14T18:39:02,Shadow IT,Medium,Unauthorized non-AI SaaS application: Dropbox
SAAS-01110,user_048,2025-06-15T09:21:56,Shadow IT,Medium,Unauthorized non-AI SaaS application: WeTransfer
SAAS-01033,user_008,2025-06-15T10:07:16,Shadow IT,Medium,Unauthorized non-AI SaaS application: Trello
SAAS-00039,user_008,2025-06-15T14:14:30,Shadow IT,Medium,Unauthorized non-AI SaaS application: Notion
